"Speaker","participant_year_of_birth","Gender","Vowel","F1","F2"
"speaker_382",1876,"M","NURSE",-0.525937822154572,-0.439926659168792
"speaker_382",1876,"M","NURSE",-1.46254590958514,2.14200352289518
"speaker_382",1876,"M","START",-0.541292053096057,-0.906339853348091
"speaker_382",1876,"M","START",1.23979873611617,-1.60595964461704
"speaker_382",1876,"M","START",1.48546643117993,0.218049096905575
"speaker_382",1876,"M","START",2.16105259260526,-0.723106098491938
"speaker_382",1876,"M","START",1.79255105000962,-1.52683597774734
"speaker_382",1876,"M","START",2.02286451413189,-0.627324817544403
"speaker_382",1876,"M","START",1.79255105000962,-1.18119048563232
"speaker_382",1876,"M","START",0.241773724919665,-0.0942811670537765
"speaker_382",1876,"M","START",3.28191145133364,-0.44409106268825
"speaker_382",1876,"M","START",0.0575229536218477,-0.535707940116327
"speaker_382",1876,"M","START",0.917359886344993,-0.119267588170525
"speaker_382",1876,"M","START",2.89805567779652,0.451255693995224
"speaker_382",1876,"M","START",-0.786959748159813,-0.194226851520769
"speaker_382",1876,"M","START",2.16105259260526,-0.235870886715349
"speaker_382",1876,"M","START",-0.280270127090816,1.01761457264152
"speaker_382",1876,"M","STRUT",1.19373604329172,-1.06875159060695
"speaker_382",1876,"M","STRUT",2.05357297601486,-1.31861580177443
"speaker_382",1876,"M","STRUT",0.610275267515298,-0.947983888542671
"speaker_382",1876,"M","STRUT",1.11696488858429,0.805229993149156
"speaker_382",1876,"M","STRUT",1.59294604777032,-1.74754936427861
"speaker_382",1876,"M","STRUT",1.56223758588735,-1.09790241524316
"speaker_382",1876,"M","STRUT",1.80790528095111,1.42989052106786
"speaker_382",1876,"M","STRUT",-0.172790510500423,-1.18951929267124
"speaker_382",1876,"M","STRUT",1.90003066660002,-1.6392748727727
"speaker_382",1876,"M","STRUT",-0.0192482010855759,-1.62678166221433
"speaker_382",1876,"M","STRUT",0.917359886344993,-2.48464878722268
"speaker_382",1876,"M","STRUT",-0.94050205757466,-1.21450571378798
"speaker_382",1876,"M","STRUT",-0.249561665207847,1.06342301135555
"speaker_382",1876,"M","STRUT",-0.848376671925752,-1.31861580177443
"speaker_382",1876,"M","STRUT",-0.90979359569169,-1.35609543344956
"speaker_382",1876,"M","THOUGHT",0.77917180787163,-1.76420697835644
"speaker_382",1876,"M","THOUGHT",-0.126727817675969,-1.54349359182517
"speaker_382",1876,"M","THOUGHT",1.04019373387687,-1.4019038721636
"speaker_382",1876,"M","THOUGHT",0.410670265275997,-1.21450571378798
"speaker_382",1876,"M","THOUGHT",-0.602708976861996,-0.668968852738983
"speaker_382",1876,"M","THOUGHT",-0.433812436505664,-1.36025983696901
"speaker_382",1876,"M","THOUGHT",0.8098802697546,-2.20563375141899
"speaker_382",1876,"M","THOUGHT",0.272482186802634,-2.64289612096209
"speaker_382",1876,"M","THOUGHT",-0.0653108939100301,-2.05155082119905
"speaker_382",1876,"M","THOUGHT",-1.18616975263842,0.430433676397934
"speaker_382",1876,"M","THOUGHT",1.16302758140875,-1.11872443284045
"speaker_382",1876,"M","THOUGHT",1.05554796481836,-2.11818127751037
"speaker_382",1876,"M","THOUGHT",-0.0806651248515149,-1.40606827568305
"speaker_382",1876,"M","THOUGHT",0.51814988186639,-2.50547080481997
"speaker_382",1876,"M","THOUGHT",-0.0960193557929996,-1.8183442241094
"speaker_382",1876,"M","TRAP",1.36263258364805,-2.27642861124978
"speaker_382",1876,"M","TRAP",1.54688335494587,0.0722949737245443
"speaker_382",1876,"M","TRAP",-0.403103974622694,1.0092857656026
"speaker_382",1876,"M","TRAP",0.0882314155048172,0.163911851152621
"speaker_382",1876,"M","TRAP",-0.142082048617454,-0.106774377612151
"speaker_382",1876,"M","TRAP",-1.23223244546287,1.28830080140629
"speaker_382",1876,"M","TRAP",-0.0806651248515149,0.721941922759996
"speaker_382",1876,"M","TRAP",-0.111373586734484,-0.373296202857464
"speaker_382",1876,"M","TRAP",-0.449166667447148,1.60895987240455
"speaker_382",1876,"M","TRAP",3.38939106792403,-2.13067448806875
"speaker_382",1876,"M","TRAP",0.902005655403508,1.2175059415755
"speaker_382",1876,"M","TRAP",1.77719681906814,0.005664517413216
"speaker_382",1876,"M","TRAP",2.45278298049347,1.15503988878363
"speaker_382",1876,"M","TRAP",-0.556646284037542,0.884353660018858
"speaker_382",1876,"M","TRAP",0.671692191281237,0.992628151524767
"speaker_384",1953,"M","DRESS",-0.267175649433795,2.30838548607193
"speaker_384",1953,"M","DRESS",-0.505464140638912,0.900099004828786
"speaker_384",1953,"M","DRESS",-1.37918860839101,2.18898728440131
"speaker_384",1953,"M","DRESS",-0.634537073375017,0.921529451282486
"speaker_384",1953,"M","DRESS",-0.743752631844029,1.1695103316753
"speaker_384",1953,"M","DRESS",0.12004314877452,0.0765575625366019
"speaker_384",1953,"M","DRESS",-1.21040092712072,1.13277242346896
"speaker_384",1953,"M","DRESS",-0.435963330704086,-0.223468687815198
"speaker_384",1953,"M","DRESS",-0.982041123049146,2.56555084351633
"speaker_384",1953,"M","DRESS",-0.565036263440192,0.189832779506159
"speaker_384",1953,"M","DRESS",-0.16788877809833,1.55219687549137
"speaker_384",1953,"M","DRESS",-0.624608386241471,0.46536709105373
"speaker_384",1953,"M","DRESS",-0.743752631844029,0.0490041313818448
"speaker_384",1953,"M","DRESS",-0.287033023700888,0.48679753750743
"speaker_384",1953,"M","DRESS",-0.207603526632516,0.57251932332223
"speaker_384",1953,"M","FLEECE",-1.3990459826581,1.17563331637636
"speaker_384",1953,"M","FLEECE",-1.22032961425426,0.0459426390313162
"speaker_384",1953,"M","FLEECE",-0.892682938847227,2.73087143044487
"speaker_384",1953,"M","FLEECE",-0.445892017837633,1.51545896728503
"speaker_384",1953,"M","FLEECE",-1.14090011718589,0.642933647384387
"speaker_384",1953,"M","FLEECE",-1.21040092712072,1.18175630107741
"speaker_384",1953,"M","FLEECE",-0.71396657044339,1.74507089357467
"speaker_384",1953,"M","FLEECE",-0.9721124359156,2.78903978510491
"speaker_384",1953,"M","FLEECE",-1.73662134519868,1.93182192695691
"speaker_384",1953,"M","FLEECE",-0.098387968163504,0.743962894951829
"speaker_384",1953,"M","FLEECE",-0.227460900899609,0.544965892167472
"speaker_384",1953,"M","FLEECE",-0.098387968163504,0.27249307297043
"speaker_384",1953,"M","FLEECE",-1.59761972532903,1.85222312584317
"speaker_384",1953,"M","FLEECE",-1.41890335692519,1.30727748744909
"speaker_384",1953,"M","FLEECE",-0.763610006111123,1.38993778091336
"speaker_384",1953,"M","GOOSE",-1.44868941832583,0.495982014559015
"speaker_384",1953,"M","GOOSE",-1.23025830138781,1.01031272944781
"speaker_384",1953,"M","GOOSE",-0.753681318977576,-0.162238840804626
"speaker_384",1953,"M","GOOSE",-1.06147062011752,0.979697805942529
"speaker_384",1953,"M","GOOSE",-0.803324754645309,0.303107996475716
"speaker_384",1953,"M","GOOSE",-1.32954517272328,1.46647508967657
"speaker_384",1953,"M","GOOSE",-1.32954517272328,0.964390344189886
"speaker_384",1953,"M","GOOSE",-0.982041123049146,0.281677550022016
"speaker_384",1953,"M","GOOSE",-0.763610006111123,0.0979880089903019
"speaker_384",1953,"M","GOOSE",-0.952255061648507,0.566396338621172
"speaker_384",1953,"M","GOOSE",-1.23025830138781,1.61342672250194
"speaker_384",1953,"M","GOOSE",-1.53804760252775,1.10215749996367
"speaker_384",1953,"M","GOOSE",-1.37918860839101,0.214324718310387
"speaker_384",1953,"M","GOOSE",-1.11111405578525,0.456182614002144
"speaker_384",1953,"M","GOOSE",-1.74655003233223,0.407198736393687
"speaker_384",1953,"M","KIT",-0.207603526632516,0.789885280209758
"speaker_384",1953,"M","KIT",0.328545578578997,-1.06844057656108
"speaker_384",1953,"M","KIT",-0.326747772235075,0.361276351135759
"speaker_384",1953,"M","KIT",0.92426680659179,0.205140241258802
"speaker_384",1953,"M","KIT",-0.694109196176297,-0.140808394350926
"speaker_384",1953,"M","KIT",-1.5479762896613,-0.058148100886655
"speaker_384",1953,"M","KIT",-0.614679699107924,-0.557171354022811
"speaker_384",1953,"M","KIT",-0.257246962300249,0.523535445713773
"speaker_384",1953,"M","KIT",-0.624608386241471,0.254124118867259
"speaker_384",1953,"M","KIT",-0.882754251713681,1.24910913278904
"speaker_384",1953,"M","KIT",0.40797507564737,0.887853035426672
"speaker_384",1953,"M","KIT",-0.197674839498969,-0.520433445816468
"speaker_384",1953,"M","KIT",-0.247318275166702,-0.789844772662982
"speaker_384",1953,"M","KIT",-1.16075749145298,-0.214284210763612
"speaker_384",1953,"M","KIT",-0.42603464357054,0.388829782290516
"speaker_384",1953,"M","LOT",0.944124180858883,-1.67155456961521
